"spa-30-00001740-n", "entidad", "1", "aquello que se percibe o se sabe o se infiere que tiene su existencia propia distinta (viva o no viva)", "n", "spa", "Femenino", "------",
"spa-30-00004258-n", "organismo", "2", "una entidad viva", "n", "spa", "NULL", "------",
"spa-30-00004475-n", "organismo", "1", "un ser vivo que tiene (o puede desarrollar) la capacidad de actuar o funcionar de manera independiente", "n", "spa", "Masculino", "------",
"spa-30-00007846-n", "alguno", "1", "un ser humano", "n", "spa", "NULL", "------",
"spa-30-00007846-n", "alma", "1", "un ser humano", "n", "spa", "NULL", "------",
"spa-30-00007846-n", "individuo", "1", "un ser humano", "n", "spa", "Masculino", "------",
"spa-30-00015388-n", "animal", "1", "un organismo vivo dotado de movimiento voluntario", "n", "spa", "Masculino", "------",
"spa-30-00017222-n", "planta", "1", "(Botánica) un organismo vivo que carece del poder de la locomoción", "n", "spa", "Femenino", "------",
"spa-30-00021265-n", "comida", "7", "cualquier sustancia que puede ser metabolizado por un animal para dar energía y construir tejido", "n", "spa", "Femenino", "------",
"spa-30-00023773-n", "motivo", "1", "La característica psicológica que incita a una acción hacia un objetivo deseado; el motivo de la acción; lo que le da propósito y dirección a la conducta.", "n", "spa", "NULL", "------",
"spa-30-00026192-n", "sensación", "2", "experimentación de estados emocionales y afectivos", "n", "spa", "Femenino", "------",
"spa-30-00034213-n", "fenómeno", "1", ""cualquier estado o proceso conocido a través del sentido en lugar de la intuición o el razonamiento"", "n", "spa", "Masculino", "------",
"spa-30-00035189-n", "realización", "2", "El acto o acción de lograr algo.", "n", "spa", "Femenino", "------",
"spa-30-00037200-n", "crédito", "9", "usado en la expresión en su haber con el fin de indicar un logro digno de alabanza", "n", "spa", "NULL", "------",
"spa-30-00039297-n", "contacto", "5", "Interacción cercana", "n", "spa", "NULL", "------",
"spa-30-00043902-n", "golpe", "4", "golpe afortunado en un certamen deportivo ( especialmente en béisbol )", "n", "spa", "NULL", "------",
"spa-30-00046522-n", "contacto", "3", ""the act of putting two things together with no space between them". en español", "n", "spa", "NULL", "------",
"spa-30-00048225-n", "llegada", "4", "logro de un objetivo", "n", "spa", "NULL", "------",
"spa-30-00048374-n", "llegada", "2", ""el acto de llegar a un lugar determinado".", "n", "spa", "Femenino", "------",
"spa-30-00049789-n", "acceso", "10", ""la acción de entrar".  question", "n", "spa", "NULL", "------",
"spa-30-00050195-n", "aparición", "2", "La aparición pública, la manifestación pública o el hecho de aparecer públicamente. (sin contexto, todas son adecuadas)", "n", "spa", "Femenino", "------",
"spa-30-00050693-n", "aparición", "4", ""el acto de emerger"", "n", "spa", "Femenino", "------",
"spa-30-00052334-n", "llegada", "3", ""la acción de llegar a tierra después de un viaje".", "n", "spa", "Femenino", "------",
"spa-30-00061917-n", "realización", "11", ""algo que se hace real o concreto"", "n", "spa", "Femenino", "------",
"spa-30-00062451-n", "realización", "4", "La acción de cumplir algo (una promesa o deseo, por ejemplo)", "n", "spa", "Femenino", "------",
"spa-30-00063014-n", "marca", "14", "Un extraordinario logro; el mejor (o peor) rendimiento jamás atestiguado (en un deporte).", "n", "spa", "Femenino", "------",
"spa-30-00064370-n", "sorpresa", "5", "notoriedad imprevista", "n", "spa", "Femenino", "------",
"spa-30-00064504-n", "golpe", "12", "acierto notorio", "n", "spa", "NULL", "------",
"spa-30-00064504-n", "triunfo", "4", "acierto notorio", "n", "spa", "NULL", "------",
"spa-30-00065855-n", "crédito", "7", "Aceptación por parte de una universidad o un centro educativo que un programa de estudios ha sido exitosamente completado; normalmente medida en horas semestrales.", "n", "spa", "NULL", "------",
"spa-30-00067526-n", "pérdida", "13", "acto de perder", "n", "spa", "Femenino", "------",
"spa-30-00068333-n", "caída", "6", ""fracaso en mantener un estado superior".", "n", "spa", "Femenino", "------",
"spa-30-00070965-n", "error", "1", ""una mala acción atribuable a la falta de buen juicio o ignorancia o negligencia"", "n", "spa", "NULL", "------",
"spa-30-00074790-n", "caída", "2", "error embarazoso", "n", "spa", "Femenino", "------",
"spa-30-00076884-n", "caída", "3", ""una repentina caída desde una posición erguida".", "n", "spa", "NULL", "------",
"spa-30-00079398-n", "comercio", "4", "Comprando o vendiendo valores o comodidades.", "n", "spa", "Masculino", "------",
"spa-30-00082870-n", "toma", "4", "El acto de tomar posesión o poder sobre algo.", "n", "spa", "Femenino", "------",
"spa-30-00093483-n", "entrega", "3", "recuperación o preservación de una pérdida o un peligro", "n", "spa", "Femenino", "------",
